id,daf_kelas_siswa_id,iuran_id,Jumlah,byr01,jml01,tgl01,byr02,jml02,tgl02,byr03,jml03,tgl03,byr04,jml04,tgl04,byr05,jml05,tgl05,byr06,jml06,tgl06,byr07,jml07,tgl07,byr08,jml08,tgl08,byr09,jml09,tgl09,byr10,jml10,tgl10,byr11,jml11,tgl11,byr12,jml12,tgl12
NULL,17,6,403000,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
NULL,18,6,403000,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
NULL,19,6,403000,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
NULL,20,6,403000,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL,0,0,NULL
